"","x"
"1",34
"2",23
"3",51
"4",36
"5",44
"6",58
"7",63
"8",60
"9",36
"10",36
"11",61
"12",63
"13",26
"14",64
"15",54
"16",54
"17",70
"18",75
"19",42
"20",59
"21",29
"22",29
"23",59
"24",56
"25",58
"26",41
"27",29
"28",53
"29",61
"30",86
"31",48
"32",22
"33",62
"34",53
"35",54
"36",44
"37",40
"38",41
"39",52
"40",63
"41",65
"42",77
"43",33
"44",50
"45",47
"46",47
"47",23
"48",43
"49",74
"50",32
"51",32
"52",51
"53",51
"54",52
"55",36
"56",79
"57",28
"58",30
"59",54
"60",54
"61",69
"62",61
"63",55
"64",38
"65",22
"66",27
"67",25
"68",54
"69",56
"70",37
"71",74
"72",60
"73",56
"74",68
"75",52
"76",31
"77",68
"78",70
"79",36
"80",45
"81",44
"82",44
"83",45
"84",79
"85",80
"86",37
"87",57
"88",28
"89",32
"90",38
"91",47
"92",60
"93",49
"94",49
"95",54
"96",32
"97",32
"98",51
"99",37
"100",55
"101",66
"102",53
"103",30
"104",44
"105",55
"106",39
"107",28
"108",49
"109",52
"110",57
"111",48
"112",46
"113",50
"114",38
"115",22
"116",42
"117",61
"118",45
"119",46
"120",44
"121",23
"122",54
"123",21
"124",60
"125",53
"126",40
"127",26
"128",44
"129",46
"130",28
"131",22
"132",27
"133",44
"134",44
"135",45
"136",26
"137",41
"138",18
"139",79
"140",49
"141",39
"142",46
"143",46
"144",57
"145",28
"146",23
"147",30
"148",33
"149",25
"150",76
"151",59
"152",42
"153",25
"154",31
"155",21
"156",75
"157",76
"158",76
"159",36
"160",28
"161",26
"162",51
"163",65
"164",57
"165",40
"166",26
"167",32
