"","x"
"1",34
"2",23
"3",51
"4",36
"5",44
"6",58
"7",63
"8",60
"9",36
"10",36
"11",61
"12",63
"13",26
"14",64
"15",54
"16",54
"17",70
"18",75
"19",42
"20",59
"21",29
"22",29
"23",59
"24",56
"25",58
"26",41
"27",29
"28",53
"29",61
"30",86
"31",48
"32",22
"33",62
"34",53
"35",54
"36",44
"37",40
"38",41
"39",52
"40",63
"41",65
"42",77
"43",33
"44",50
"45",47
"46",47
"47",23
"48",43
"49",74
"50",32
"51",32
"52",51
"53",51
"54",52
"55",36
"56",79
"57",28
"58",30
"59",54
"60",54
"61",69
"62",61
"63",55
"64",38
"65",22
"66",27
"67",25
"68",54
"69",56
"70",37
"71",74
"72",60
"73",56
"74",68
"75",52
"76",31
"77",68
"78",70
"79",36
"80",45
"81",44
"82",44
"83",45
"84",79
"85",80
"86",37
"87",57
"88",28
"89",32
"90",38
"91",47
"92",60
"93",49
"94",49
"95",54
"96",32
"97",32
"98",51
"99",37
"100",55
"101",66
"102",53
"103",30
"104",44
"105",55
"106",39
"107",28
"108",49
"109",52
"110",57
"111",48
"112",46
"113",50
"114",38
"115",22
"116",42
"117",61
"118",45
"119",46
"120",44
"121",23
"122",54
"123",21
"124",60
"125",53
"126",40
"127",26
"128",44
"129",46
"130",28
"131",22
"132",27
"133",44
"134",44
"135",45
"136",26
"137",41
"138",18
"139",79
"140",49
"141",39
"142",46
"143",46
"144",57
"145",28
"146",23
"147",30
"148",33
"149",25
"150",76
"151",59
"152",42
"153",25
"154",31
"155",21
"156",75
"157",76
"158",76
"159",36
"160",28
"161",26
"162",51
"163",65
"164",57
"165",40
"166",26
"167",32
"168",35
"169",51
"170",36
"171",32
"172",83
"173",46
"174",46
"175",52
"176",20
"177",35
"178",27
"179",18
"180",22
"181",47
"182",23
"183",24
"184",55
"185",84
"186",21
"187",22
"188",64
"189",42
"190",39
"191",55
"192",25
"193",27
"194",71
"195",26
"196",84
"197",11
"198",62
"199",32
"200",37
"201",37
"202",47
"203",60
"204",60
"205",41
"206",45
"207",52
"208",64
"209",57
"210",43
"211",37
"212",51
"213",62
"214",21
"215",21
"216",23
"217",80
"218",39
"219",68
"220",40
"221",44
"222",27
"223",59
"224",22
"225",55
"226",68
"227",68
"228",24
"229",42
"230",43
"231",19
"232",47
"233",27
"234",65
"235",46
"236",20
"237",54
"238",70
"239",18
"240",38
"241",45
"242",45
"243",59
"244",43
"245",40
"246",51
"247",54
"248",36
"249",42
"250",63
"251",53
"252",37
"253",32
"254",65
"255",45
"256",41
"257",42
"258",42
"259",24
"260",24
"261",55
"262",42
"263",18
"264",31
"265",24
"266",52
"267",64
"268",49
"269",68
"270",45
"271",72
"272",42
"273",43
"274",21
"275",59
"276",32
"277",50
"278",26
"279",46
"280",50
"281",50
"282",51
"283",31
"284",28
"285",31
"286",62
"287",65
"288",39
"289",47
"290",45
"291",49
"292",21
"293",29
"294",31
"295",60
"296",55
"297",25
"298",38
"299",38
"300",44
"301",26
"302",57
"303",27
"304",39
"305",70
"306",63
"307",54
"308",24
"309",31
"310",68
"311",66
"312",53
"313",43
"314",34
"315",43
"316",43
"317",15
"318",29
"319",64
"320",63
"321",40
"322",70
"323",31
"324",32
"325",25
"326",23
"327",48
"328",22
"329",43
"330",61
"331",38
"332",38
"333",38
"334",74
"335",52
"336",36
"337",66
"338",35
"339",59
"340",41
"341",37
"342",38
"343",63
"344",63
"345",74
"346",76
"347",18
"348",55
"349",57
"350",75
"351",15
"352",34
"353",40
"354",61
"355",24
"356",54
"357",23
"358",49
"359",13
"360",42
"361",66
"362",24
"363",42
"364",43
"365",44
"366",36
"367",65
"368",20
"369",20
"370",45
"371",23
"372",25
"373",26
"374",26
"375",21
"376",46
"377",38
"378",31
"379",22
"380",25
"381",45
"382",21
"383",34
"384",60
"385",23
"386",19
"387",48
"388",47
"389",87
"390",46
"391",38
"392",60
"393",86
"394",20
"395",34
"396",45
"397",43
"398",50
"399",70
"400",38
"401",52
"402",53
"403",57
"404",33
"405",46
"406",40
"407",48
"408",50
"409",63
"410",59
"411",59
"412",40
"413",41
"414",42
"415",43
"416",88
"417",57
"418",61
"419",62
"420",52
"421",24
"422",40
"423",51
"424",27
"425",22
"426",52
"427",54
"428",71
"429",69
"430",54
"431",54
"432",33
"433",50
"434",22
"435",23
"436",49
"437",70
"438",94
"439",43
"440",56
"441",57
"442",55
"443",35
"444",54
"445",53
"446",47
"447",58
"448",55
"449",62
"450",27
"451",27
"452",36
"453",27
"454",33
"455",49
"456",41
"457",41
"458",46
"459",46
"460",46
"461",36
"462",36
"463",27
"464",58
"465",61
"466",41
"467",50
"468",26
"469",58
"470",26
"471",26
"472",28
"473",69
"474",43
"475",38
"476",20
"477",73
"478",69
"479",75
"480",62
"481",34
"482",45
"483",45
"484",48
"485",28
"486",52
"487",52
"488",21
"489",21
"490",33
"491",53
"492",25
"493",39
"494",49
"495",53
"496",53
"497",28
"498",76
"499",32
"500",25
"501",21
"502",22
"503",23
"504",52
"505",68
"506",23
"507",46
"508",62
"509",23
"510",63
"511",45
"512",66
"513",30
"514",67
"515",35
"516",56
"517",39
"518",22
"519",22
"520",19
"521",39
"522",28
"523",28
"524",65
"525",34
"526",56
"527",64
"528",52
"529",83
"530",27
"531",71
"532",31
"533",36
"534",65
"535",48
"536",37
"537",25
"538",55
"539",38
"540",59
"541",46
"542",55
"543",37
"544",61
"545",45
"546",25
"547",64
"548",19
"549",39
"550",58
"551",50
"552",16
"553",37
"554",53
"555",53
"556",19
"557",53
"558",70
"559",21
"560",38
"561",21
"562",60
"563",55
"564",60
"565",31
"566",48
"567",49
"568",18
"569",41
"570",21
"571",27
"572",31
"573",65
"574",18
"575",38
"576",21
"577",37
"578",30
"579",56
"580",27
"581",42
"582",44
"583",33
"584",57
"585",64
"586",18
"587",29
"588",41
"589",56
"590",30
"591",30
"592",30
"593",41
"594",48
"595",46
"596",47
"597",32
"598",31
"599",48
"600",23
"601",57
"602",68
"603",68
"604",57
"605",55
"606",89
"607",18
"608",42
"609",44
"610",55
"611",44
"612",36
"613",61
"614",38
"615",36
"616",18
"617",56
"618",63
"619",60
"620",70
"621",53
"622",19
"623",35
"624",24
"625",48
"626",84
"627",29
"628",29
"629",29
"630",32
"631",42
"632",43
"633",45
"634",60
"635",21
"636",22
"637",81
"638",59
"639",51
"640",48
"641",49
"642",32
"643",55
"644",58
"645",77
"646",54
"647",19
"648",22
"649",85
"650",39
"651",69
"652",51
"653",44
"654",49
"655",22
"656",21
"657",51
"658",40
"659",47
"660",27
"661",86
"662",33
"663",34
"664",78
"665",78
"666",44
"667",42
"668",21
"669",59
"670",60
"671",68
"672",28
"673",67
"674",34
