"","x"
"1",34
"2",23
"3",51
"4",36
"5",44
"6",58
"7",63
"8",60
"9",36
"10",36
"11",61
"12",63
"13",26
"14",64
"15",54
"16",54
"17",70
"18",75
"19",42
"20",59
"21",29
"22",29
"23",59
"24",56
"25",58
"26",41
"27",29
"28",53
"29",61
"30",86
"31",48
"32",22
"33",62
"34",53
"35",54
"36",44
"37",40
"38",41
"39",52
"40",63
"41",65
"42",77
"43",33
"44",50
"45",47
"46",47
"47",23
"48",43
"49",74
"50",32
"51",32
"52",51
"53",51
"54",52
"55",36
"56",79
"57",28
"58",30
"59",54
"60",54
"61",69
"62",61
"63",55
"64",38
"65",22
"66",27
"67",25
"68",54
"69",56
"70",37
"71",74
"72",60
"73",56
"74",68
"75",52
"76",31
"77",68
"78",70
"79",36
"80",45
"81",44
"82",44
"83",45
"84",79
"85",80
"86",37
"87",57
"88",28
"89",32
"90",38
"91",47
"92",60
"93",49
"94",49
"95",54
"96",32
"97",32
"98",51
"99",37
"100",55
"101",66
"102",53
"103",30
"104",44
"105",55
"106",39
"107",28
"108",49
"109",52
"110",57
"111",48
"112",46
"113",50
"114",38
"115",22
"116",42
"117",61
"118",45
"119",46
"120",44
"121",23
"122",54
"123",21
"124",60
"125",53
"126",40
"127",26
"128",44
"129",46
"130",28
"131",22
"132",27
"133",44
"134",44
"135",45
"136",26
"137",41
"138",18
"139",79
"140",49
"141",39
"142",46
"143",46
"144",57
"145",28
"146",23
"147",30
"148",33
"149",25
"150",76
"151",59
"152",42
"153",25
"154",31
"155",21
"156",75
"157",76
"158",76
"159",36
"160",28
"161",26
"162",51
"163",65
"164",57
"165",40
"166",26
"167",32
"168",35
"169",51
"170",36
"171",32
"172",83
"173",46
"174",46
"175",52
"176",20
"177",35
"178",27
"179",18
"180",22
"181",47
"182",23
"183",24
"184",55
"185",84
"186",21
"187",22
"188",64
"189",42
"190",39
"191",55
"192",25
"193",27
"194",71
"195",26
"196",84
"197",11
"198",62
"199",32
"200",37
"201",37
"202",47
"203",60
"204",60
"205",41
"206",45
"207",52
"208",64
"209",57
"210",43
"211",37
"212",51
"213",31
"214",62
"215",21
"216",21
"217",23
"218",80
"219",39
"220",68
"221",40
"222",44
"223",27
"224",59
"225",22
"226",55
"227",68
"228",68
"229",24
"230",42
"231",43
"232",19
"233",47
"234",27
"235",65
"236",46
"237",20
"238",54
"239",70
"240",18
"241",38
"242",45
"243",45
"244",59
"245",43
"246",40
"247",51
"248",54
"249",36
"250",42
"251",63
"252",53
"253",37
"254",32
"255",65
"256",45
"257",41
"258",42
"259",42
"260",24
"261",24
"262",55
"263",42
"264",18
"265",31
"266",24
"267",52
"268",64
"269",49
"270",68
"271",45
"272",72
"273",42
"274",43
"275",21
"276",59
"277",32
"278",50
"279",26
"280",46
"281",50
"282",50
"283",51
"284",31
"285",28
"286",31
"287",62
"288",65
"289",39
"290",47
"291",45
"292",49
"293",21
"294",29
"295",31
"296",60
"297",55
"298",25
"299",38
"300",38
"301",44
"302",26
"303",57
"304",27
"305",39
"306",70
"307",63
"308",54
"309",24
"310",31
"311",68
"312",66
"313",53
"314",43
"315",34
"316",43
"317",43
"318",15
"319",29
"320",64
"321",63
"322",40
"323",70
"324",31
"325",32
"326",25
"327",23
"328",48
"329",22
"330",43
"331",61
"332",38
"333",38
"334",38
"335",74
"336",52
"337",36
"338",66
"339",35
"340",59
"341",41
"342",37
"343",38
"344",63
"345",63
"346",74
"347",76
"348",18
"349",55
"350",57
"351",75
"352",15
"353",34
"354",40
"355",61
"356",24
"357",54
"358",23
"359",49
"360",13
"361",42
"362",66
"363",24
"364",42
"365",43
"366",44
"367",36
"368",65
"369",20
"370",20
"371",45
"372",23
"373",25
"374",26
"375",26
"376",21
"377",46
"378",38
"379",31
"380",22
"381",25
"382",45
"383",21
"384",34
"385",60
"386",23
"387",19
"388",48
"389",47
"390",87
"391",46
"392",38
"393",60
"394",86
"395",20
"396",34
"397",45
"398",43
"399",50
"400",70
"401",38
"402",52
"403",53
"404",57
"405",33
"406",46
"407",40
"408",48
"409",50
"410",63
"411",59
"412",59
"413",40
"414",41
"415",42
"416",43
"417",88
"418",57
"419",61
"420",62
"421",52
"422",24
"423",40
"424",51
"425",27
"426",22
"427",52
"428",54
"429",71
"430",69
"431",54
"432",54
"433",33
"434",50
"435",22
"436",23
"437",49
"438",70
"439",94
"440",43
"441",56
"442",57
"443",55
"444",35
"445",54
"446",53
"447",47
"448",58
"449",55
"450",62
"451",27
"452",27
"453",36
"454",27
"455",33
"456",49
"457",41
"458",41
"459",46
"460",46
"461",46
"462",36
"463",36
"464",27
"465",58
"466",61
"467",41
"468",50
"469",26
"470",58
"471",26
"472",26
"473",28
"474",69
"475",43
"476",38
"477",20
"478",73
"479",69
"480",75
"481",62
"482",34
"483",45
"484",45
"485",48
"486",28
"487",52
"488",52
"489",21
"490",21
"491",33
"492",53
"493",25
"494",39
"495",49
"496",53
"497",53
"498",28
"499",76
"500",32
"501",25
"502",21
"503",22
"504",23
"505",52
"506",68
"507",23
"508",46
"509",62
"510",23
"511",63
"512",45
"513",66
"514",30
"515",67
"516",35
"517",56
"518",39
"519",22
"520",22
"521",19
"522",39
"523",28
"524",28
"525",65
"526",34
"527",56
"528",64
"529",52
"530",83
"531",27
"532",71
"533",31
"534",36
"535",65
"536",48
"537",37
"538",25
"539",55
"540",38
"541",59
"542",46
"543",55
"544",37
"545",61
"546",45
"547",25
"548",64
"549",19
"550",39
"551",58
"552",50
"553",16
"554",37
"555",53
"556",53
"557",19
"558",53
"559",70
"560",21
"561",38
"562",21
"563",60
"564",55
"565",60
"566",31
"567",48
"568",49
"569",18
"570",41
"571",21
"572",27
"573",31
"574",65
"575",18
"576",38
"577",21
"578",37
"579",30
"580",56
"581",27
"582",42
"583",44
"584",33
"585",57
"586",64
"587",18
"588",29
"589",41
"590",56
"591",30
"592",30
"593",30
"594",41
"595",48
"596",46
"597",47
"598",32
"599",31
"600",48
"601",23
"602",57
"603",68
"604",68
"605",57
"606",55
"607",89
"608",18
"609",42
"610",44
"611",55
"612",44
"613",36
"614",61
"615",38
"616",36
"617",18
"618",56
"619",63
"620",60
"621",70
"622",53
"623",19
"624",35
"625",24
"626",48
"627",84
"628",29
"629",29
"630",29
"631",32
"632",42
"633",43
"634",45
"635",60
"636",21
"637",22
"638",81
"639",59
"640",51
"641",48
"642",49
"643",32
"644",55
"645",58
"646",77
"647",54
"648",19
"649",22
"650",85
"651",39
"652",69
"653",51
"654",44
"655",49
"656",22
"657",21
"658",51
"659",40
"660",47
"661",27
"662",86
"663",33
"664",34
"665",78
"666",78
"667",44
"668",42
"669",21
"670",59
"671",60
"672",68
"673",28
"674",67
"675",34
"676",35
"677",81
"678",54
"679",28
"680",54
"681",48
"682",49
"683",49
"684",51
"685",20
"686",24
"687",20
"688",40
"689",48
"690",48
"691",44
"692",49
"693",42
"694",69
"695",36
"696",51
"697",24
"698",50
"699",56
"700",45
"701",65
"702",27
"703",44
"704",27
"705",33
"706",39
"707",31
"708",32
"709",25
"710",50
"711",51
"712",51
"713",21
"714",54
"715",55
"716",73
"717",47
"718",47
"719",57
"720",48
"721",75
"722",33
"723",33
"724",31
"725",49
"726",19
"727",29
"728",23
"729",50
"730",39
"731",26
"732",26
"733",43
"734",55
"735",31
"736",28
"737",52
"738",33
"739",53
"740",56
"741",68
"742",68
"743",19
"744",23
"745",24
"746",55
"747",36
"748",64
"749",50
"750",72
"751",64
"752",36
"753",60
"754",66
"755",36
"756",37
"757",71
"758",35
"759",83
"760",29
"761",18
"762",16
"763",30
"764",22
"765",22
"766",21
"767",59
"768",56
"769",45
"770",47
"771",39
"772",48
"773",41
"774",41
"775",60
"776",43
"777",39
"778",69
"779",52
"780",47
"781",38
"782",39
"783",42
"784",67
"785",25
"786",36
"787",18
"788",18
"789",36
"790",40
"791",25
"792",21
"793",35
"794",36
"795",37
"796",30
"797",25
"798",34
"799",45
"800",79
"801",20
"802",39
"803",53
"804",44
"805",52
"806",58
"807",34
"808",19
"809",51
"810",56
"811",34
"812",62
"813",24
"814",34
"815",20
"816",52
"817",34
"818",43
"819",26
"820",26
"821",76
"822",27
"823",33
"824",28
"825",31
"826",19
"827",20
"828",33
"829",47
"830",24
"831",64
"832",63
"833",40
"834",18
"835",29
"836",52
"837",32
"838",41
"839",39
"840",48
"841",69
"842",80
"843",79
"844",52
"845",24
"846",27
"847",59
"848",52
"849",22
"850",72
"851",32
"852",33
"853",23
"854",54
"855",16
"856",59
"857",35
"858",43
"859",20
"860",54
"861",33
"862",33
"863",19
